,features,score
0,trump,0.2035578257465508
1,president,0.08516973806234715
2,coronavirus,0.0619877349610183
3,pandemic,0.0586267606640563
4,donald,0.049238176927821294
5,administration,0.03172505753958395
6,response,0.0276587156773353
7,handling,0.02682708696333713
8,americans,0.02318209164184261
9,china,0.01965164142729012
10,says,0.016410511238371492
11,america,0.0157937532893445
12,said,0.015672922673654676
13,amid,0.0155134556566886
14,biden,0.014733299389732276
