,features,score
0,cases,0.32883237176291724
1,deaths,0.16971673378877908
2,19,0.10010664207835573
3,recovered,0.09692829037381961
4,covid,0.08561549618091148
5,coronavirus,0.0641190494934908
6,gmt,0.05310935800972674
7,2020,0.05064834580363811
8,pandemic,0.049626186247293
9,updated,0.049309038202050424
10,100,0.041895540704301626
11,days,0.04010132381559965
12,total,0.03871036289030115
13,confirmed,0.036701928661861644
14,new,0.03585690164120168
