,features,score
0,pandemic,0.062374562772270235
1,coronavirus,0.060945300272549165
2,people,0.01932851184943925
3,world,0.015007966456487422
4,time,0.012876703683008292
5,amid,0.01204270885381029
6,new,0.011529585800531943
7,like,0.011095766615901524
8,health,0.010855452267638661
9,government,0.010852588792405842
10,2020,0.010359600716650059
11,year,0.009693199861850889
12,help,0.009148445360307357
13,going,0.008939613493186074
14,home,0.008199855109302294
